ARB_ID,SET,BRAND,match,afte3,N_8good
233,4,2,1,1,8
233,5,2,0,3,8
233,6,1,0,3,8
233,7,2,1,1,8
233,8,1,0,3,8
241,1,1,0, , 
241,2,1,0, , 
241,3,1,1, , 
241,4,2,0, , 
241,5,1,1, , 
241,6,2,1, , 
241,7,2,1, , 
241,8,2,0, , 
249,1,1,1,1,8
249,2,2,0,3,8
249,3,2,0,3,8
249,4,1,1,1,8
249,5,1,1,1,8
249,6,2,1,1,8
249,7,1,0,3,8
249,8,2,1,1,8
257,1,1,1,1,8
257,2,1,0,3,8
257,3,1,0,3,8
257,4,1,0,3,8
257,5,2,1,1,8
257,6,2,1,1,8
257,7,2,1,1,8
257,8,2,0,3,8
265,1,1,0,3,8
265,2,2,0,3,8
265,3,1,1,1,8
265,4,2,1,1,8
265,5,1,0,3,8
265,6,2,1,1,8
265,7,2,1,1,8
265,8,1,1,1,8
273,1,1,0, , 
273,2,2,0, , 
273,3,2,1, , 
273,4,2,0, , 
273,5,1,0, , 
273,6,1,1, , 
273,7,1,0, , 
273,8,2,1, , 
281,1,1,1,1,8
281,2,1,0,3,8
281,3,2,1,1,8
281,4,2,0,2,8
281,5,2,1,1,8
281,6,2,0,3,8
281,7,1,1,1,8
281,8,1,1,1,8
289,1,2,1,1,8
289,2,1,1,1,8
289,3,2,0,2,8
289,4,1,1,1,8
289,5,2,1,1,8
289,6,1,0,3,8
289,7,1,0,3,8
289,8,2,1,1,8
297,1,1,0,2,8
297,2,1,1,1,8
297,3,2,1,1,8
297,4,1,0,2,8
297,5,2,1,1,8
297,6,1,1,1,8
297,7,2,0,2,8
297,8,2,1,1,8
305,1,2,0,3,8
305,2,1,0,9,8
305,3,1,1,2,8
305,4,2,1,1,8
305,5,1,1,2,8
305,6,2,1,1,8
305,7,1,1,2,8
305,8,2,0,2,8
313,1,2,0,3,8
313,2,2,0,3,8
313,3,2,1,1,8
313,4,1,1,1,8
313,5,1,0,2,8
313,6,2,1,1,8
313,7,1,0,3,8
313,8,1,1,1,8
321,1,1,1,1,8
321,2,1,0,3,8
321,3,2,1,1,8
321,4,1,1,1,8
321,5,2,0,3,8
321,6,1,1,1,8
